編號,成語,釋義,用法說明-語義說明,三歲版解釋
92,汗牛充棟,"汗牛，指運送書籍時，以牛負載，累得出汗。充棟，指書籍繁多，堆滿整幢房屋。「汗牛充棟」形容書籍極多。語本唐．柳宗元〈唐故給事中皇太子侍讀陸文通先生墓表〉。
△「車載斗量」",形容書籍極多。,指書本多到堆滿整棟房子，搬運都得吃力數不完。
93,仰人鼻息,"仰賴別人鼻子裡呼出的氣息而生存。比喻依靠他人生活。＃語本《後漢書．卷七四上．袁紹劉表列傳．袁紹》。後用「仰人鼻息」比喻看別人的臉色行事，不能自主。
△「寄人籬下」",比喻依靠他人生活。＆比喻看別人的臉色行事，不能自主。,靠別人養活，做事常看別人臉色，不能自己決定
94,乳臭未乾,"嘴裡還有奶腥味。譏諷人年紀輕，沒有經驗與能力。語本《漢書．卷一．高帝紀上》。
△「羽毛未豐」",譏諷人年紀輕，沒有經驗與能力。貶義。,年紀很小、經驗不足，做事還不夠成熟，容易犯錯，被人看不起。
95,開門揖盜,"揖，請。「開門揖盜」比喻引進壞人，自招禍患。語出《三國志．卷四七．吳書．吳主權傳》。
△「引狼入室」",比喻引進壞人，自招禍患。,把壞人請進來，結果自己惹來大麻煩和危險。
96,危如累卵,"重疊起來的蛋，隨時有跌破的可能。比喻情況非常危險。＃語本《韓非子．十過》。
△「千鈞一髮」",比喻情況非常危險。,像一疊蛋會隨時掉到地上碎，不要碰，很危險，要很小心
97,得意忘形,"（一）形，形體。「得意忘形」指因心意志趣獲得滿足而物我兩忘。語本《晉書．卷四九．阮籍列傳》。形容人高興過頭，舉止失去常態。
△「得意洋洋」
（二）形，形式。「得意忘形」指文學藝術創作上，取其精神而捨其形式。語本宋．歐陽修〈李邕書〉。",形容人高興過頭，舉止失去常態。,開心得控制不住，說話做事不像平常那樣，常會做出誇張的動作。
98,三令五申,"再三命令告誡。＃語出《史記．卷六五．孫子吳起列傳．孫武》。
△「耳提面命」",再三命令告誡。,反覆多次提醒別人要特別注意或不要做那件事。
99,短兵相接,"以短小的刀、劍等武器交手搏鬥。語出戰國楚．屈原〈九歌．國殤〉。後用「短兵相接」形容近距離激烈地搏打、爭鬥。
△「針鋒相對」",比喻近距離激烈地搏打、爭鬥。,雙方靠很近，用短刀或拳腳互相用力打鬥，很激烈。
100,按部就班,"寫作文章時，依照文義、安排部次，考究詞語，組織章句。語出晉．陸機〈文賦〉。後用「按部就班」比喻做事依照一定的層次、步驟進行。
△「按部就隊」、「循序漸進」",比喻做事依照一定的層次、步驟進行。,照順序做事，先完成每個步驟，再做下一項，不亂跳過。
101,錦上添花,"錦，彩飾的絲織品。「錦上添花」指在有彩色花紋的絲織品上再繡上花朵。比喻美上加美，喜上加喜。※＃語或出宋．黃庭堅〈了了菴頌〉。後亦用「錦上添花」形容花樣繁複、精采。
△「如虎添翼」",比喻美上加美，喜上加喜。,原本很好、漂亮或開心的事，又讓它變得更好或更美。
102,得隴望蜀,"隴，地名，位約當今甘肅省。蜀，地名，位約當今四川省。「得隴望蜀」指平定隴西之後，又想進軍蜀地。＃語本《東觀漢記．卷二三．隗囂傳》。後用「得隴望蜀」比喻貪得無厭，不知滿足。
△「得寸進尺」",比喻貪得無厭，不知滿足。,已經有了還想要更多，永遠不滿足，什麼都想佔為己有。
103,沾沾自喜,"形容自得自滿的樣子。語出《史記．卷一○七．魏其武安侯列傳》。
△「自鳴得意」",形容自得自滿的樣子。,做了一點小成就就過分高興，覺得自己了不起，不想再努力。
104,毛遂自薦,"戰國時，平原君之門下食客毛遂自薦跟隨前往楚國遊說。典出《史記．卷七六．平原君虞卿列傳．平原君》。後用「毛遂自薦」比喻自告奮勇，自我推薦。
△「自告奮勇」、「脫穎而出」",比喻自告奮勇，自我推薦。,主動說我可以做，願意負責或幫忙完成工作。
105,外強中乾,"「外強中乾」之「強」，典源作「彊」。「彊」同「強」。形容馬的外表看似強壯，內在卻氣力衰竭。語出《左傳．僖公十五年》。後用「外強中乾」泛喻各種事物外表看似充實強盛，實則空虛衰弱。
△「色厲內荏」",比喻事物看似充實強盛，實則空虛衰弱。,外表看起來很強壯，裡面其實沒力氣，空空的。
106,井井有條,"形容整齊有序，條理分明。語本《荀子．儒效》。
△「有條不紊」",形容整齊有序，條理分明。,東西擺得很整齊，做事有順序、不亂，很容易找到想要的東西。
107,六神無主,"形容心慌意亂，拿不定主意。※語或出《醒世恆言．卷二九．盧太學詩酒傲王侯》。
△「手足無措」、「不知所措」",形容心慌意亂，拿不定主意。,心裡慌張，腦子一片空白，不知道該怎麼辦或選擇。
108,本末倒置,"事物的先後次序顛倒。語本《禮記．大學》。後用「本末倒置」比喻不知事情的輕重緩急。
△「輕重倒置」",比喻不知事情的輕重緩急。,把不重要的事放在第一位，重要的事反而被忽略或放在後面。
109,良莠不齊,"良，指禾苗。莠，惡草，俗稱狗尾草，葉與禾苗相似，難以辨認。「良莠不齊」，謂好壞參差，素質不一。※語或出清．紀昀《閱微草堂筆記．卷一○．如是我聞四》。
△「參差不齊」",好壞參差，素質不一。,有好有壞混在一起，品質各不相同，要仔細挑選。
110,水乳交融,"水與乳融合在一起。比喻彼此關係密切，契合無間。※語或本《高僧傳．三集．卷一六．唐撫州景雲寺上恆傳》。
△「如膠似漆」",比喻彼此關係密切，契合無間。,兩個人關係很親密，像水和奶混在一起，分不開。
111,夜以繼日,"以夜晚接續白天，晝夜都不歇息。※＃語或出《孟子．離婁下》。亦用來形容工作勤奮，日夜不停。
△「通宵達旦」",形容工作勤奮，日夜不停。,日夜不停地工作或學習，從晚上做到白天，不休息。
112,防微杜漸,"在錯誤或壞事萌芽的時候及時制止，杜絕它發展。※語或本漢．丁鴻〈日食上封事〉。
△「未雨綢繆」、「防患未然」",防範弊病要從小地方著手，並制止弊端逐漸擴大。,發現小毛病要立刻處理，別讓它變成大問題或麻煩。
113,岌岌可危,"岌岌，危險的樣子。「岌岌可危」形容非常危險。＃語本《管子．小問》。
△「搖搖欲墜」",形容非常危險。,表示情況很危險，眼看就會倒或發生很嚴重的事。
114,沽名釣譽,"「沽名」，用手段謀取名聲。※語或出《廙別傳》。「釣譽」，用手段謀取讚譽。語本《漢書．卷五八．公孫弘卜式兒寬傳．公孫弘》。「沽名釣譽」指故意做作，用手段謀取名聲和讚譽。
△「欺世盜名」",形容故意做作，用手段謀取名聲和讚譽。,為了得到名聲和別人的稱讚，假裝很厲害或做好人，騙人誇獎。
115,以訛傳訛,"訛，錯誤。「以訛傳訛」指將不正確的訊息繼續傳播下去。語本宋．王柏〈默成定武蘭亭記〉。
△「道聽塗說」",指將不正確的訊息繼續傳播下去。,把聽到錯的話不查證，就又傳給別人，錯誤越傳越多。
116,一落千丈,"本指琴聲由高驟然下降到很低。語出唐．韓愈〈聽穎師彈琴〉詩。後用「一落千丈」比喻成績、地位、景況、情緒或聲望等急遽下降。
△「一瀉千里」",指聲音由高驟然下降到很低。＆比喻成績、地位、景況、情緒或聲望等急遽下降。,原本指聲音從高到低，後來也用來說成績或心情突然變差。
117,一針見血,"一針刺入手指，鮮血即出。語本《晉書．卷六六．陶侃列傳》。後用「一針見血」比喻言論簡潔透澈，深中肯綮（ㄑㄧㄥˋ）。
△「一語道破」",比喻言論簡潔透澈，深中肯綮。,說話簡短有力，直接指出重點，讓人立刻明白問題所在。
118,萬籟俱寂,萬物無聲，一片寂靜。語本唐．常建〈題破山寺後禪院〉詩。 △「鴉雀無聲」,萬物無聲，一片寂靜。,四周安靜到一點聲音都沒有，連風吹樹葉也聽不見。
119,笑容可掬,"笑容滿溢，似乎可用雙手捧取。形容笑容滿面的樣子。※語或出《三國演義》第九五回。
△「喜形於色」",形容笑容滿面的樣子。,臉上笑得很開，笑容滿滿，好像可以用手捧起來。
120,揮金如土,"花錢就像撒土一樣。比喻極端浪費錢財。語出宋．毛滂〈祭鄭庭誨文〉。
△「一擲千金」",比喻極端浪費錢財。,把錢亂花，像把土往外撒，完全不在乎花多少。
121,嗤之以鼻,"嗤，譏笑。「嗤之以鼻」指用鼻子哼氣譏笑某一人事物，以表示不屑、鄙視。※語或出《黃繡球》第七回。
△「不屑一顧」",指用鼻子哼氣譏笑某一人事物以表示不屑、鄙視。,用鼻子哼一聲，表示看不起某人或某事，很不在意。
122,急流勇退,"在湍急的水勢中，當機立斷，回舟退出。比喻人於得意順遂時，及時隱退。＃語出宋．邵伯溫《邵氏聞見錄》卷七。
△「功成身退」",在湍急的水勢中，當機立斷，回舟退出。＆比喻人處於得意順遂時及時隱退。,做得很成功的時候，會勇敢退出，不再冒險，保護自己
123,赴湯蹈火,"甘願奔投至烈火沸水當中。比喻奮不顧身，不避艱險。※＃語本《漢書．卷四九．爰盎鼂錯傳．鼂錯》。
△「出生入死」、「赴火蹈刃」",比喻奮不顧身，不避艱險。,願意不顧危險、衝上去幫別人或完成重要任務。
124,包藏禍心,"懷藏詭計，圖謀害人。語出《左傳．昭公元年》。
△「居心叵測」",懷藏詭計，圖謀害人。貶義。,表面裝好人，背地裡暗暗藏著想害人的打算和心思。
125,旗鼓相當,"軍旗和戰鼓表現出的氣勢相當，形容兩方軍隊陣容、聲勢不相上下。※＃語或本《後漢書．卷一三．隗囂公孫述列傳．隗囂》。後用「旗鼓相當」比喻雙方勢均力敵。
△「旗鼓相望」、「勢均力敵」",比喻雙方勢均力敵。,兩邊的力量差不多，打起來看不出誰比較強，誰也沒法輕易贏。
126,樂不可支,"快樂到無法受得住，形容快樂到了極點。＃語出《東觀漢記．卷一五．張堪列傳》。
△「喜不自勝」、「樂不可言」",形容快樂到了極點。,高興到受不了，笑得停不下來，心裡暖洋洋。
127,分道揚鑣,"分道而行，形容各走各的路。＃語本《魏書．卷一四．神元平文諸帝子孫列傳．河間公齊》。後用「分道揚鑣」比喻人依其志向，各奔前程。
△「各奔前程」",形容各走各的路。＆比喻人依其志向，各奔前程。,大家分開走，各自按自己想要的方向努力前進。
128,曇花一現,"曇花，一種多在夜間開放，開後不久旋即凋謝的花。「曇花一現」比喻事物稀有難得。語本《妙法蓮華經．方便品》。後用「曇花一現」比喻人或事物一出現便迅速消失。
△「過眼雲煙」",人或事物一出現便迅速消失。,某件事或某個人突然出現，很快就消失不見了，像沒發生過。
129,目中無人,"眼中除自己外，沒有他人。形容人高傲自大，瞧不起別人。※語或出《初刻拍案驚奇》卷一三。
△「目空一切」、「旁若無人」",形容人高傲自大，瞧不起別人。貶義。,說一個人很驕傲，只在乎自己，看不起別人、不把別人放在眼裡。
130,春風得意,"春風吹拂中，心情怡然自得，指登進士第後稱心如意的感受。語出唐．孟郊〈登科後〉詩。後用「春風得意」形容人因事情如願以償而心情愉悅滿足。
△「走馬看花」、「躊躇滿志」",指考中後稱心如意的感受。＆形容人因事情如願以償而心情愉悅滿足。,事情照自己的願望發生，心裡又高興又驕傲。
