idiom,original_definition
天涯海角,"「天涯海角」之「海」，典源作「地」。形容偏僻或相距遙遠的地方。※語或本南朝陳．徐陵〈武皇帝作相時與嶺南酋豪書〉。
△「天南地北」、「天涯海際」"
九死一生,"「九死」指歷經多次近於死亡之險境。見於戰國．楚．屈原〈離騷〉。「九死一生」形容歷經極大的危險而倖存。※語或本《六臣註文選．屈原．離騷》唐．劉良．注。後亦用「九死一生」表十死其九之意，比喻倖免於死的人很少，亦用於比喻生命跡象微弱，瀕臨死亡。
△「死裡逃生」、「虎口餘生」"
如數家珍,"好像計算自家所珍藏的珠寶一樣。比喻敘述事物明晰熟練。※語或本《韓詩外傳》卷一。_x000D_
△「一五一十」"
情不自禁,"感情激動得無法自我控制。語出南朝梁．劉遵〈七夕穿針〉詩。
△「不由自主」"
想入非非,"「想入非非」是從佛經中「非想非非想處」變化而來。「非想非非想處」指佛教禪修者修習至最高的境界。語本《大佛頂首楞嚴經》卷九。後來「想入非非」轉而用來形容脫離現實的想像或念頭。
△「胡思亂想」、「異想天開」"
鬼鬼祟祟,"形容行事不光明，偷偷摸摸的樣子。※語或出《紅樓夢》第二四回。
△「鬼頭鬼腦」"
置若罔聞,"置，放著。罔，沒有。「置若罔聞」指雖有耳聞，卻好像沒有聽到一樣不加理會。※＃語或出明．朱國幀《湧幢小品．卷九．閣臣相搆》。
△「置之不理」"
捕風捉影,"風和影子均無可捉摸，「捕風捉影」比喻所做的事或所說的話毫無根據，憑空揣測。語本《漢書．卷二五．郊祀志下》。
△「無中生有」"
義不容辭,"道義上不容許推卻。語出唐．岑文本〈唐故特進尚書右僕射上柱國虞恭公溫公碑〉。
△「責無旁貸」、「義不容隱」、「當仁不讓」、「義無反顧」"
異想天開,"不符實際、不合事理的奇特想法。※語或出清．無名氏〈都門紀變百詠〉其五七。
△「想入非非」"
當仁不讓,"面臨仁義之事而不謙讓。語出《論語．衛靈公》。後用「當仁不讓」指遇到應該做的事，主動承擔起來，而不推讓。
△「義不容辭」、「責無旁貸」、「義無反顧」"
恍然大悟,"猛然醒悟過來。語本唐．高彥休《唐闕史．卷上．裴丞相古器》。
△「豁然大悟」、「豁然貫通」、「豁然開朗」"
穿鑿附會,"「穿鑿」，牽強的解釋，硬要把說不通的事情說通。語出《漢書．卷七二．王貢兩龔鮑傳．王吉》。「附會」之「附」，典源作「傅」，或作「傅會」，指牽引古事與時事相結合，並據以發表議論。後用「附會」比喻把不相關的事物牽連成有關聯。語本《史記．卷一○一．袁盎鼂錯列傳》。「穿鑿附會」指生拉硬扯，牽強解釋。
△「牽強附會」"
敷衍塞責,"形容做事不認真負責，只是表面應付。※語或出清．張集馨《道咸宦海見聞錄．丁巳五十八歲》。
△「敷衍了事」"
暗箭傷人,"在隱蔽處放箭傷害他人。＃語本宋．劉炎《邇言》卷六。後用「暗箭傷人」比喻暗中用陰險的手段傷害人。_x000D_
△「含沙射影」。"
隨波逐流,"順著水流而行。比喻人沒有確定的方向和目標，只依從環境潮流行事。語本《史記．卷八四．屈原列傳》。
△「同流合汙」"
暴跳如雷,"暴躁得像打雷一樣猛烈。形容脾氣暴躁。語本無名氏〈古詩為焦仲卿妻作〉。後用「暴跳如雷」形容人急怒時跳腳吼叫的樣子。
△「大發雷霆」"
優柔寡斷,"優柔，柔弱。「優柔寡斷」形容行事猶豫，不能當機立斷。語本《韓非子．亡徵》。_x000D_
△「猶豫不決」"
聲色俱厲,"說話時的聲音和臉色都很嚴厲。※＃語或出晉．裴啟《語林》。_x000D_
△「正言厲色」"
華而不實,"只開花而不結果，比喻虛浮而不切實際。語出《左傳．文公五年》。
△「金玉其外，敗絮其中」、「虛有其表」"
利令智昏,"形容受利慾迷惑，使得理智昏亂。語出《史記．卷七六．平原君虞卿列傳》。
△「見利忘義」、「見利忘親」"
置之度外,"不放在心上，不加理會。＃語本《東觀漢記．卷一．光武帝紀》。_x000D_
△「置之腦後」、「置之膜外」"
不修邊幅,"「不修邊幅」，典源本作「修飾邊幅」，指修整布帛邊緣，使它變得整齊。比喻講究衣飾儀容或形式小節。語本《後漢書．卷二四．馬援列傳》。後反義轉用「不修邊幅」形容不講究衣飾儀容，或形容不拘形式小節。
△「妄自尊大」、「修飾邊幅」、「蓬頭垢面」"
手無寸鐵,"「手無寸鐵」之「鐵」，典源作「刃」。手上沒有短小鋒利的武器。形容手上沒有拿任何武器。語本南朝宋．劉敬叔《異苑．卷一○．楊香搤虎》。
△「赤手空拳」"
玉石俱焚,"美玉和石頭一同被燒毀。語出《書經．胤征》。後用「玉石俱焚」比喻不論賢愚、善惡、好壞同時受害，盡皆毀滅。
△「同歸於盡」"
一手遮天,"比喻玩弄權術、瞞上欺下的行徑。語本唐．曹鄴〈讀李斯傳〉詩。
△「瞞天過海」"
七手八腳,"形容人多動作紛亂又沒條理。※語或出《續傳燈錄．卷二二．慶元府育王佛照德光禪師》。
△「手忙腳亂」"
一觸即發,"一經觸動就立即有所感發或反應。※語或本明．李開先〈原性堂記〉。後用「一觸即發」比喻很緊張的情勢或很危險的時刻。
△「劍拔弩張」"
心悅誠服,"誠心誠意地歸服。語本《孟子．公孫丑上》。
△「心服口服」"
改弦易轍,"「改弦」，改換樂弦。語本漢．董仲舒〈元光元年舉賢良對策〉。「易轍」，改變車行方向。語本《晏子》。「改弦易轍」比喻改變制度、做法或態度。
△「改弦更張」"
兵連禍結,"兵，戰爭。結，相連。「兵連禍結」指戰爭持續不斷，災禍接連而來。語出《漢書．卷九四．匈奴傳下》。
△「兵荒馬亂」"
出神入化,"產生神妙，入於化境。語出明．黃佐《翰林記．卷一○．習書》。後用「出神入化」形容文藝、技藝、工藝等之技巧達到至高絕妙的境界。
△「出神變化」、「巧奪天工」、「鬼斧神工」"
居心叵測,"「居心」，存心、處心。語出《三國志．卷五九．吳書．吳主五子傳》；「叵測」，難以預料、不可測。語出《新唐書．卷二○○．儒學列傳下．尹愔》。後用「居心叵測」比喻心存險詐，難以預測。
△「包藏禍心」、「別有用心」"
千方百計,"費盡心機，想盡一切辦法、計謀。※＃語或出宋．彭龜年〈論小人疑間兩宮乞車駕過宮面質疏〉。
△「千方萬計」"
一帆風順,"船掛滿帆，一路順風而行。※語或本宋．楊萬里〈曉出洪澤霜晴風順〉詩。後用「一帆風順」比喻非常順利，毫無阻礙。
△「無往不利」"
大惑不解,"十分糊塗、迷惑，不懂道理。語本《莊子．天地》。後用「大惑不解」指對事物感到非常疑惑，無法了解。
△「百思不解」"
金蟬脫殼,"金蟬蛻變於脫去外殼。比喻利用假象藉以脫身。※語或本《三國志平話》卷上。
△「逃之夭夭」、「溜之大吉」"
五花八門,"五花、八門各指古代兵法中的五花陣、八門陣。※語或出清．錢泳《履園叢話．卷一六．精怪．張氏怪》。後用「五花八門」比喻花樣繁多，變化多端。
△「形形色色」"
一貧如洗,"形容非常貧窮，一無所有。※語或本宋．王鎡〈山居〉詩。
△「家徒四壁」"
心安理得,"形容心中坦然無所愧咎，則行事合情合理。※＃語或本《論語．陽貨》。
△「問心無愧」"
道貌岸然,"學道的人容貌莊嚴肅穆。形容外表莊重嚴肅的樣子。語本敦煌變文《維摩詰經講經文》。
△「一本正經」"
飛揚跋扈,"跋扈，形容人傲慢蠻橫。「飛揚跋扈」則形容態度蠻橫放縱，不受約束。＃語出《北齊書．卷二．神武帝紀下》。
△「飛揚跋扈」"
苦口婆心,"「苦口」，不辭辛苦的反覆規勸。＃語出《宋史．卷二五六．趙普列傳》。「婆心」，像老婆婆那樣慈愛的心腸。語出《景德傳燈錄．卷一二．鎮州臨濟義玄禪師》。「苦口婆心」形容以懇切真摯的態度，竭力勸告他人。_x000D_
△「語重心長」"
比比皆是,"比比，每每、頻頻。「比比皆是」形容到處都是。語本《戰國策．秦策一》。
△「比肩皆是」、「摩肩接踵」、「觸目皆是」"
顛沛流離,"「顛沛」，比喻世道衰亂或人事挫折。語出《論語．里仁》。「流離」，流亡離散。◎語出《漢書．卷二四．食貨志上》。「顛沛流離」形容生活困迫不安，四處流浪。
△「百六之會」、「流離失所」、「陽九之阸」"
雷厲風行,"像打雷般猛烈，如颳風般快速。比喻政令執行嚴格迅速。※＃語或本《易經．復卦》三國魏．王弼．注。後用「雷厲風行」比喻人行事嚴格迅速。_x000D_
△「大刀闊斧」"
十拿九穩,"拿：握持。穩：穩當。比喻很有把握。※語或出明．阮大鋮《燕子箋》第七齣。
△「萬無一失」"
寡廉鮮恥,"缺乏廉恥之心。比喻不知羞恥。語出漢．司馬相如〈喻巴蜀檄〉。
△「恬不知恥」、「義無反顧」"
模稜兩可,"「模稜兩可」之「模」，典源作「摸」。「摸」，通「模」。「模稜兩可」摸物稜角兩端，摸那一端都可以。比喻處理事情的態度含混，不表示明確的意見或主張。語本《舊唐書．卷九四．蘇味道列傳》。
△「不置可否」"
充耳不聞,"塞住耳朵，裝作沒聽見。※語或本《詩經．邶風．旄丘》鄭玄．箋。後用「充耳不聞」形容拒絕或不願聽取別人意見。
△「不聞不問」"
蠢蠢欲動,"像蟲子一樣扭曲著身軀欲有所行動。比喻人意圖為害作亂。語本《左傳．昭公二十四年》。
△「躍躍欲試」"
聽天由命,"任憑天意及命運而自然發展。語本漢．孔臧〈鴞賦〉。
△「聽其自然」"
大腹便便,"大肚子顯得肥胖而凸出的樣子。＃語本晉．司馬彪《續漢書》。
△「腦滿腸肥」"
聲名狼藉,"「聲名狼藉」之「藉」，典源作「籍」。「籍」通「藉」。指肆意妄為，名聲惡劣。語本《史記．卷八八．蒙恬列傳》唐．司馬貞．索隱。_x000D_
△「身敗名裂」"
探囊取物,"伸手到袋子裡拿取東西。比喻事情極容易辦到。語本《新五代史．卷六二．十國世家．南唐世家》。
△「甕中捉鱉」"
處心積慮,"千方百慮，蓄意已久。語出《穀梁傳．隱公元年》。
△「挖空心思」"
呆若木雞,"木雞，木頭製成的雞，任何情況下皆紋風不動，比喻修養深厚、態度沈穩。語本《莊子．達生》。後用「呆若木雞」形容愚笨或受驚嚇而發愣的樣子。
△「木雞養到」、「目瞪口呆」"
以鄰為壑,"將鄰國當作渲洩洪水的溝壑。語本《孟子．告子下》。後用「以鄰為壑」比喻將困難和災禍推到別人身上。
△「嫁禍於人」"
言簡意賅,"賅，兼備。「言簡意賅」指言辭簡單而意思完備。語本宋．張載《張子全書．卷六．義理》。
△「要言不煩」"
積重難返,"長期累積成的不良習慣與弊病，難以改正。※語或出明．張居正〈陳六事疏〉。
△「根深蒂固」"
標新立異,"新的獨到見解，與諸家立論不同。◎語本南朝宋．劉義慶《世說新語．文學》。後用「標新立異」形容創立新奇的名目或主張，以表示與眾不同。
△「立奇造異」、「獨樹一幟」"
來龍去脈,"本是堪輿家用以形容山脈河流走向的術語，後用以比喻事情的首尾始末。※語或出明．無名氏《運甓記》第一三齣。
△「前因後果」"
櫛風沐雨,"以風梳髮，以雨沐浴。語本《莊子．天下》。後用「櫛風沐雨」比喻在外奔走，極為辛勞。_x000D_
△「風餐露宿」"
所向披靡,"風吹到的地方，草木立即伏倒。比喻力量所到之處，敵人紛紛潰敗逃散。＃語本《史記．卷七．項羽本紀》。
△「所向無敵」"
海底撈針,"在大海中尋找一根細小的針。比喻東西很難找到或事情很難做到。※＃語或本元．吳昌齡《二郎收豬八戒》第二折。
△「水中撈月」"
栩栩如生,"栩栩，生動可喜的樣子。語本《莊子．齊物論》。後用「栩栩如生」形容貌態逼真，彷彿具有生命力。
△「活龍活現」、「莊周夢蝶」、「維妙維肖」、「躍然紙上」"
惡貫滿盈,"貫，本指以線穿錢，錢滿一貫，就不能增加，稱為滿貫。此處指惡行「累積」，《廣雅．釋詁一》︰「貫，累也。」罪惡累積，已達滿溢的程度。比喻罪大惡極，末日已到。＃語本《書經．泰誓上》。
△「罪大惡極」"
朝秦暮楚,"（一）「朝秦暮楚」之「暮」，典源作「莫」。「莫」為「暮」的本字。戰國時之小國，時而事秦，時而事楚，反覆無常。語出宋．晁補之〈海陵集序〉。後用「朝秦暮楚」比喻人心反覆無常。_x000D_
△「反覆無常」、「出爾反爾」、「朝三暮四」、「朝梁暮陳」_x000D_
（二）「朝秦暮楚」之「暮」，典源作「莫」。「莫」為「暮」的本字。早上還在秦國，晚上卻已在楚國。比喻人東飄西蕩，行蹤無定。語出宋．晁補之〈北渚亭賦〉。_x000D_
△「朝吳暮楚」"
